,fixture_id,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,league_id,league,event_date,event_timestamp,firstHalfStart,secondHalfStart,round,status,statusShort,elapsed,venue,referee,homeTeam,awayTeam,goalsHomeTeam,goalsAwayTeam,score
0,192867,3,5,,,,,8,11,2,33%,,0,1,,,,697,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2015-01-01T12:45:00+00:00,1420116300,1420116300,1420119900,Regular Season - 20,Match Finished,FT,90,"Britannia Stadium (Stoke-on-Trent, Staffordshire)","Michael Oliver, England","{'team_id': 75, 'team_name': 'Stoke City', 'logo': 'https://media.api-sports.io/football/teams/75.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",1.0,1.0,"{'halftime': '1-1', 'fulltime': '1-1', 'extratime': None, 'penalty': None}"
1,192867,2,3,,,,,12,7,1,67%,,0,1,,,,697,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2015-01-01T12:45:00+00:00,1420116300,1420116300,1420119900,Regular Season - 20,Match Finished,FT,90,"Britannia Stadium (Stoke-on-Trent, Staffordshire)","Michael Oliver, England","{'team_id': 75, 'team_name': 'Stoke City', 'logo': 'https://media.api-sports.io/football/teams/75.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",1.0,1.0,"{'halftime': '1-1', 'fulltime': '1-1', 'extratime': None, 'penalty': None}"
2,192868,3,7,,,,,11,5,1,67%,1,0,0,,,,697,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2015-01-01T15:00:00+00:00,1420124400,1420124400,1420128000,Regular Season - 20,Match Finished,FT,90,Villa Park (Birmingham),"Robert Madley, England","{'team_id': 66, 'team_name': 'Aston Villa', 'logo': 'https://media.api-sports.io/football/teams/66.png'}","{'team_id': 52, 'team_name': 'Crystal Palace', 'logo': 'https://media.api-sports.io/football/teams/52.png'}",0.0,0.0,"{'halftime': '0-0', 'fulltime': '0-0', 'extratime': None, 'penalty': None}"
3,192868,2,3,,,,,11,2,4,33%,1,0,3,,,,697,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2015-01-01T15:00:00+00:00,1420124400,1420124400,1420128000,Regular Season - 20,Match Finished,FT,90,Villa Park (Birmingham),"Robert Madley, England","{'team_id': 66, 'team_name': 'Aston Villa', 'logo': 'https://media.api-sports.io/football/teams/66.png'}","{'team_id': 52, 'team_name': 'Crystal Palace', 'logo': 'https://media.api-sports.io/football/teams/52.png'}",0.0,0.0,"{'halftime': '0-0', 'fulltime': '0-0', 'extratime': None, 'penalty': None}"
4,192869,5,5,,,,,16,4,2,45%,3,0,3,,,,697,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2015-01-01T15:00:00+00:00,1420124400,1420124400,1420128000,Regular Season - 20,Match Finished,FT,90,Kingston Communications Stadium (Hull),"Kevin Friend, England","{'team_id': 64, 'team_name': 'Hull City', 'logo': 'https://media.api-sports.io/football/teams/64.png'}","{'team_id': 45, 'team_name': 'Everton', 'logo': 'https://media.api-sports.io/football/teams/45.png'}",2.0,0.0,"{'halftime': '2-0', 'fulltime': '2-0', 'extratime': None, 'penalty': None}"
5,192869,3,5,,,,,15,8,1,55%,4,1,3,,,,697,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2015-01-01T15:00:00+00:00,1420124400,1420124400,1420128000,Regular Season - 20,Match Finished,FT,90,Kingston Communications Stadium (Hull),"Kevin Friend, England","{'team_id': 64, 'team_name': 'Hull City', 'logo': 'https://media.api-sports.io/football/teams/64.png'}","{'team_id': 45, 'team_name': 'Everton', 'logo': 'https://media.api-sports.io/football/teams/45.png'}",2.0,0.0,"{'halftime': '2-0', 'fulltime': '2-0', 'extratime': None, 'penalty': None}"
6,192870,6,9,,,,,13,4,2,53%,2,0,1,,,,697,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2015-01-01T15:00:00+00:00,1420124400,1420124400,1420128000,Regular Season - 20,Match Finished,FT,90,Anfield (Liverpool),"Mike Jones, England","{'team_id': 40, 'team_name': 'Liverpool', 'logo': 'https://media.api-sports.io/football/teams/40.png'}","{'team_id': 46, 'team_name': 'Leicester', 'logo': 'https://media.api-sports.io/football/teams/46.png'}",2.0,2.0,"{'halftime': '2-0', 'fulltime': '2-2', 'extratime': None, 'penalty': None}"
7,192870,4,7,,,,,7,5,1,47%,2,0,4,,,,697,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2015-01-01T15:00:00+00:00,1420124400,1420124400,1420128000,Regular Season - 20,Match Finished,FT,90,Anfield (Liverpool),"Mike Jones, England","{'team_id': 40, 'team_name': 'Liverpool', 'logo': 'https://media.api-sports.io/football/teams/40.png'}","{'team_id': 46, 'team_name': 'Leicester', 'logo': 'https://media.api-sports.io/football/teams/46.png'}",2.0,2.0,"{'halftime': '2-0', 'fulltime': '2-2', 'extratime': None, 'penalty': None}"
8,192871,14,11,,,,,13,10,1,68%,2,0,2,,,,697,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2015-01-01T15:00:00+00:00,1420124400,1420124400,1420128000,Regular Season - 20,Match Finished,FT,90,Etihad Stadium (Manchester),"Chris Foy, England","{'team_id': 50, 'team_name': 'Manchester City', 'logo': 'https://media.api-sports.io/football/teams/50.png'}","{'team_id': 746, 'team_name': 'Sunderland', 'logo': 'https://media.api-sports.io/football/teams/746.png'}",3.0,2.0,"{'halftime': '0-0', 'fulltime': '3-2', 'extratime': None, 'penalty': None}"
9,192871,4,0,,,,,7,4,3,32%,3,0,10,,,,697,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2015-01-01T15:00:00+00:00,1420124400,1420124400,1420128000,Regular Season - 20,Match Finished,FT,90,Etihad Stadium (Manchester),"Chris Foy, England","{'team_id': 50, 'team_name': 'Manchester City', 'logo': 'https://media.api-sports.io/football/teams/50.png'}","{'team_id': 746, 'team_name': 'Sunderland', 'logo': 'https://media.api-sports.io/football/teams/746.png'}",3.0,2.0,"{'halftime': '0-0', 'fulltime': '3-2', 'extratime': None, 'penalty': None}"
